"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"04.03.2020","4,5850","4,5133","4,5880","4,5019","68,83K","1,55%"
"03.03.2020","4,5148","4,4744","4,5183","4,4517","98,73K","0,90%"
"02.03.2020","4,4744","4,4950","4,5065","4,4692","70,01K","0,02%"
"28.02.2020","4,4735","4,5067","4,5138","4,4634","114,12K","-0,29%"
"27.02.2020","4,4863","4,4485","4,5015","4,4461","104,87K","0,80%"
"26.02.2020","4,4505","4,3875","4,4553","4,3875","57,73K","1,42%"
"25.02.2020","4,3883","4,3883","4,3883","4,3875","0,00K","0,00%"
"24.02.2020","4,3883","4,3883","4,3883","4,3883","0,00K","-0,03%"
"21.02.2020","4,3897","4,3941","4,4066","4,3700","46,31K","-0,09%"
"20.02.2020","4,3935","4,3651","4,3981","4,3573","51,08K","0,65%"
"19.02.2020","4,3653","4,3567","4,3778","4,3564","35,81K","0,22%"
"18.02.2020","4,3559","4,3281","4,3641","4,3252","37,33K","0,66%"
"17.02.2020","4,3272","4,2999","4,3317","4,2968","24,48K","0,69%"
"14.02.2020","4,2976","4,3506","4,3506","4,2903","47,43K","-1,21%"
"13.02.2020","4,3502","4,3552","4,3834","4,3075","58,31K","-0,11%"
"12.02.2020","4,3552","4,3323","4,3557","4,3231","43,05K","0,54%"
"11.02.2020","4,3318","4,3250","4,3405","4,2962","54,07K","0,15%"
"10.02.2020","4,3251","4,3204","4,3289","4,3034","42,52K","0,10%"
"07.02.2020","4,3206","4,2825","4,3238","4,2794","57,71K","0,89%"
"06.02.2020","4,2825","4,2356","4,2862","4,2083","55,57K","1,10%"
"05.02.2020","4,2357","4,2555","4,2611","4,2257","41,77K","-0,45%"
"04.02.2020","4,2547","4,2478","4,2622","4,2228","40,28K","0,16%"
"03.02.2020","4,2480","4,2805","4,2830","4,2294","41,59K","-0,80%"
"31.01.2020","4,2824","4,2440","4,2904","4,2440","66,32K","0,92%"
"30.01.2020","4,2432","4,2305","4,2722","4,2304","68,01K","0,30%"
"29.01.2020","4,2306","4,1950","4,2326","4,1806","49,77K","0,86%"
"28.01.2020","4,1945","4,2111","4,2164","4,1863","49,05K","-0,31%"
"27.01.2020","4,2077","4,1835","4,2317","4,1799","54,32K","0,62%"
"24.01.2020","4,1816","4,1706","4,1916","4,1646","47,03K","0,26%"
"23.01.2020","4,1707","4,1829","4,1904","4,1551","43,72K","-0,29%"
"22.01.2020","4,1829","4,2011","4,2056","4,1716","37,24K","-0,71%"
"21.01.2020","4,2126","4,1885","4,2174","4,1826","42,22K","0,53%"
"20.01.2020","4,1902","4,1654","4,1917","4,1624","18,50K","0,68%"
"17.01.2020","4,1620","4,1851","4,1935","4,1584","51,64K","-0,55%"
"16.01.2020","4,1851","4,1754","4,2006","4,1585","58,63K","0,23%"
"15.01.2020","4,1756","4,1313","4,1859","4,1303","49,45K","1,03%"
"14.01.2020","4,1330","4,1477","4,1616","4,1205","51,17K","-0,34%"
"13.01.2020","4,1469","4,0894","4,1469","4,0877","41,20K","1,24%"
"10.01.2020","4,0962","4,0938","4,1045","4,0612","40,92K","0,08%"
"09.01.2020","4,0928","4,0647","4,0933","4,0570","44,33K","0,69%"
